productId,name,set,transactions,units,gmv_sale
693022,The Mind Stone,Marvel Super Heroes,2301,2492,177420.29
647302,The Soul Stone,Marvel's Spider-Man,1447,1503,138835.12
686643,Force of Will (JP Alternate Art) (Silver Scroll Foil),Secrets of Strixhaven: Mystical Archive,94,96,104012.28
660570,Badgermole Cub,Avatar: The Last Airbender,1308,1574,85413.69
6883,Gaea's Cradle,Urza's Saga,59,62,83416.03
686637,Force of Will,Secrets of Strixhaven: Mystical Archive,1011,1072,79855.2
696341,"Thanos, The Mad Titan (Borderless) (0400)",Marvel Super Heroes,336,340,77344.05
1608,Volcanic Island,Revised Edition,85,99,72685.13
689157,Jeska's Will (JP Alternate Art) (Silver Scroll Foil),Secrets of Strixhaven: Mystical Archive,154,156,70357.89
5382,Mox Diamond,Stronghold,62,67,69849.8
686640,Force of Will (JP Alternate Art),Secrets of Strixhaven: Mystical Archive,345,356,67766.69
488270,The One Ring (Borderless) (LTR Bundle),Unique and Miscellaneous Promos,700,739,67037.19
1599,Underground Sea,Revised Edition,69,81,66468.29
5129,Lion's Eye Diamond,Mirage,83,90,66115.17
641734,Quantum Riddler,Edge of Eternities,1322,1862,65347.76
686552,Vampiric Tutor,Secrets of Strixhaven: Mystical Archive,1013,1027,62963.15
7357,Rhystic Study,Prophecy,1081,1168,62619.2
6323,Grim Monolith,Urza's Legacy,123,128,60958.36
668479,Doctor Doom (Borderless) (0394),Marvel Super Heroes,322,324,57602.98
693024,The Mind Stone (Borderless),Marvel Super Heroes,36,36,54749.25
487805,The One Ring,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,471,504,54063.35
689158,Emeritus of Woe,Secrets of Strixhaven,2444,2628,53654.09
240035,Esper Sentinel,Modern Horizons 2,853,905,52529.9
686556,Vampiric Tutor (JP Alternate Art) (Silver Scroll Foil),Secrets of Strixhaven: Mystical Archive,67,67,51654.26
631067,"Y'shtola, Night's Blessed (Borderless) (Surge Foil)",Commander: FINAL FANTASY,72,72,51325.24
498367,Orcish Bowmasters,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,902,1051,50732.94
618882,"Y'shtola, Night's Blessed (Borderless)",Commander: FINAL FANTASY,294,295,49560.93
631015,Vivi Ornitier,FINAL FANTASY,1168,1292,49500.96
689151,Jeska's Will,Secrets of Strixhaven: Mystical Archive,979,987,49097.54
630986,"Sephiroth, Fabled SOLDIER (Borderless) (Surge Foil)",FINAL FANTASY,83,84,48311.37
700738,Doom Variant - Roaming Throne (Borderless),Marvel Universe Eternal-Legal,926,950,48228.45
36238,Mox Opal,Scars of Mirrodin,174,212,47972.49
671005,Hexing Squelcher,Lorwyn Eclipsed,1999,2249,47272.12
632704,Buster Sword,FINAL FANTASY,1095,1115,46692.32
696296,"Mjolnir, Hammer of Thor",Marvel Super Heroes,1972,2168,45841.31
660516,"Wan Shi Tong, Librarian",Avatar: The Last Airbender,985,1104,45162.86
525238,Roaming Throne,The Lost Caverns of Ixalan,879,915,45155.52
71039,"Nykthos, Shrine to Nyx",Theros,829,874,44694.62
688651,Erode,Secrets of Strixhaven,3771,5161,44420.03
1595,Tropical Island,Revised Edition,86,95,44094.18
1624,Wheel of Fortune,Revised Edition,136,136,43943.92
183033,Smothering Tithe,Ravnica Allegiance,826,839,43753.43
686555,Vampiric Tutor (JP Alternate Art),Secrets of Strixhaven: Mystical Archive,274,275,43407.91
1597,Tundra,Revised Edition,75,93,43155.11
282800,"Sheoldred, the Apocalypse",Dominaria United,414,436,42451.92
517451,The One Ring (Borderless Poster),Universes Beyond: The Lord of the Rings: Tales of Middle-earth,39,40,42229.61
643635,Ancient Tomb (0001) (Borderless),Edge of Eternities: Stellar Sights,352,356,42001.99
641733,Ouroboroid,Edge of Eternities,1094,1226,41896.74
696312,The Unbeatable Squirrel Girl,Marvel Super Heroes,3688,4253,41653.38
212302,The Ozolith,Ikoria: Lair of Behemoths,618,625,41394.88
697254,"Doctor Doom, Unrivaled",Commander: Marvel Super Heroes,493,505,41378.21
262050,"Boseiju, Who Endures",Kamigawa: Neon Dynasty,738,794,40247.32
689350,Cyclonic Rift (JP Alternate Art) (Silver Scroll Foil),Secrets of Strixhaven: Mystical Archive,94,95,40186.27
696314,The Unbeatable Squirrel Girl (Borderless),Marvel Super Heroes,1402,1445,40163.43
697546,The Fantasticar,Commander: Marvel Super Heroes,472,1320,40153.98
162125,Mox Amber,Dominaria,448,482,39190.26
632052,Stay with Me - Rhystic Study (Showcase),FINAL FANTASY: Through the Ages,296,298,38885.53
5457,Ancient Tomb,Tempest,276,324,38528.53
671032,Hexing Squelcher (Showcase),Lorwyn Eclipsed,971,1032,38496.73
7030,Serra's Sanctum,Urza's Saga,83,89,38452.96
647614,The Soul Stone (Borderless),Marvel's Spider-Man,25,25,38406.31
632705,Buster Sword (Borderless),FINAL FANTASY,377,383,37591.77
644286,Icetill Explorer,Edge of Eternities,1900,2211,37394.02
5615,Lotus Petal,Tempest,939,1154,37326.22
618887,Dragon of Mount Gulg - Ancient Copper Dragon (Showcase),FINAL FANTASY: Through the Ages,281,281,37192.89
697204,"Loki, Lord of Misrule",Commander: Marvel Super Heroes,520,525,36970.73
5529,Earthcraft,Tempest,190,197,36203.26
552863,Ocelot Pride,Modern Horizons 3,716,900,36022.15
1339,Badlands,Revised Edition,82,91,35955.66
238619,Urza's Saga,Modern Horizons 2,735,854,35875.67
688521,Flashback,Secrets of Strixhaven,3915,4968,35594.57
696349,The Ten Rings,Marvel Super Heroes,1899,2274,35517.26
518155,"Sauron, the Dark Lord (Borderless Poster)",Universes Beyond: The Lord of the Rings: Tales of Middle-earth,69,69,35311.33
688679,Flow State,Secrets of Strixhaven,4218,7962,35152.65
5593,Intuition,Tempest,99,104,34624.8
690171,Flusterstorm (JP Alternate Art) (Silver Scroll Foil),Secrets of Strixhaven: Mystical Archive,141,141,34108.66
689345,Cyclonic Rift,Secrets of Strixhaven: Mystical Archive,917,926,33661.33
686601,Emeritus of Ideation,Secrets of Strixhaven,2343,2881,33634.76
686575,Improvisation Capstone,Secrets of Strixhaven,2229,2404,33561.75
541274,Polluted Delta,Modern Horizons 3,1349,1751,33437.93
656776,Tataru Taru (Borderless) (Chocobo Track Foil),Commander: FINAL FANTASY,171,174,33149.16
688890,Crop Rotation (JP Alternate Art) (Silver Scroll Foil),Secrets of Strixhaven: Mystical Archive,180,186,33136.86
660571,Badgermole Cub (Borderless),Avatar: The Last Airbender,390,424,32929.07
130149,Anointed Procession,Amonkhet,591,598,32787.74
697268,Ultron the Annihilator,Commander: Marvel Super Heroes,537,539,32483.51
688833,Ad Nauseam (JP Alternate Art) (Silver Scroll Foil),Secrets of Strixhaven: Mystical Archive,104,104,32106.01
238610,Scalding Tarn,Modern Horizons 2,723,843,32081.95
630950,"Sephiroth, Fabled SOLDIER",FINAL FANTASY,886,953,31940.09
4416,Survival of the Fittest,Exodus,87,91,31934.16
1585,Taiga,Revised Edition,91,98,31917.08
1527,Plateau,Revised Edition,94,107,31836.74
631871,Vivi Ornitier (Borderless),FINAL FANTASY,314,319,31636.96
623894,"Ugin, Eye of the Storms",Tarkir: Dragonstorm,633,755,31543.68
238609,Misty Rainforest,Modern Horizons 2,781,895,31538.45
589328,Bloodthirsty Conqueror,Foundations,851,897,31536.51
509562,Smothering Tithe (Anime Borderless),Wilds of Eldraine: Enchanting Tales,142,142,31506.04
504495,Deflecting Swat (Borderless),Commander Masters,255,259,31407.63
212191,Deflecting Swat,Commander 2020,482,485,31377.17
656850,"Yuna, Hope of Spira (Borderless) (Chocobo Track Foil)",FINAL FANTASY,223,230,31267.8
656848,Vivi Ornitier (Borderless) (Chocobo Track Foil),FINAL FANTASY,139,140,31191.56
541275,Bloodstained Mire,Modern Horizons 3,1308,1754,31099.03
212218,Fierce Guardianship,Commander 2020,556,573,30911.99
657764,Doubling Season (Borderless),Teenage Mutant Ninja Turtles Source Material,1019,1060,30851.81
498425,Orcish Bowmasters (Borderless),Universes Beyond: The Lord of the Rings: Tales of Middle-earth,470,506,30840.34
238607,Arid Mesa,Modern Horizons 2,803,940,30609.27
273001,Ancient Copper Dragon,Commander Legends: Battle for Baldur's Gate,270,273,30369.32
190647,Force of Negation,Modern Horizons,454,598,30257.39
656750,"Cloud, Midgar Mercenary (Borderless) (Chocobo Track Foil)",FINAL FANTASY,179,183,30078.56
4303,City of Traitors,Exodus,61,62,29828.88
697383,Devil Dinosaur,Commander: Marvel Super Heroes,653,661,29813.43
1388,Demonic Tutor,Revised Edition,560,576,29789.94
1342,Bayou,Revised Edition,73,81,29753.39
696412,T'Challa's Protection - Teferi's Protection (Borderless),Marvel Universe Eternal-Legal,797,849,29590.33
697068,"Shang-Chi, Master of Kung Fu (Borderless) (0396)",Marvel Super Heroes,302,308,29331.49
631062,"Cloud, Ex-SOLDIER (Borderless) (Surge Foil)",Commander: FINAL FANTASY,78,80,29277.02
36765,Mox Diamond,From the Vault: Relics,16,17,28925.16
5170,Phyrexian Dreadnought,Mirage,91,113,28695.21
558355,Three Tree City,Bloomburrow,1102,1162,28672.54
630959,"Sephiroth, Fabled SOLDIER (0317) (Borderless)",FINAL FANTASY,298,303,28483.51
590858,Doubling Season,Foundations,855,871,28482.04
1552,Savannah,Revised Edition,85,94,28251.48
498456,Balin's Tomb - Ancient Tomb (Borderless),Commander: The Lord of the Rings: Tales of Middle-earth,155,159,28123.71
662549,The Walls of Ba Sing Se,Avatar: The Last Airbender,1098,1136,28108.07
509566,Rhystic Study (Anime Borderless),Wilds of Eldraine: Enchanting Tales,145,147,27813.25
696290,Tony Stark (Borderless) (0392),Marvel Super Heroes,307,312,27746.75
668478,Bruce Banner (Borderless) (0390),Marvel Super Heroes,288,289,27587.07
1556,Scrubland,Revised Edition,74,77,27448.33
696581,"Ultron, Artificial Malevolence",Marvel Super Heroes,1850,2084,27391.69
689348,Cyclonic Rift (JP Alternate Art),Secrets of Strixhaven: Mystical Archive,256,257,27317.3
697332,The Vision and Scarlet Witch,Commander: Marvel Super Heroes,396,402,27280.02
689106,Germination Practicum,Secrets of Strixhaven,2296,2502,27255.53
541277,Wooded Foothills,Modern Horizons 3,1330,1621,27216.12
656838,Tifa Lockhart (Borderless) (Chocobo Track Foil),FINAL FANTASY,189,195,26900.87
651357,Eddie Brock (0233) (Borderless),Marvel's Spider-Man,250,254,26826.79
630884,"Cloud, Midgar Mercenary (Borderless) (Surge Foil)",FINAL FANTASY,103,106,26791.4
696583,"Ultron, Artificial Malevolence (Borderless) (0401)",Marvel Super Heroes,265,266,26782.68
499456,Mithril Coat,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,902,922,26544.4
656787,Snapcaster Mage (Borderless) (Chocobo Track Foil),Commander: FINAL FANTASY,175,181,26447.8
659479,"Jin Sakai, Ghost of Tsushima",Secret Lair Drop Series,187,225,26428.31
660517,"Wan Shi Tong, Librarian (Borderless)",Avatar: The Last Airbender,322,332,26413.35
238608,Marsh Flats,Modern Horizons 2,730,837,26385.95
614390,Chrome Mox (Borderless),Special Guests,141,141,26100.49
630968,"Sephiroth, Fabled SOLDIER (0382) (Borderless)",FINAL FANTASY,330,335,26004.37
687438,Land Tax,Commander: Secrets of Strixhaven,1465,1781,25895.59
696535,Jennifer Walters,Marvel Super Heroes,1696,2036,25879.83
696582,"Ultron, Artificial Malevolence (Borderless) (0344)",Marvel Super Heroes,776,788,25848.48
